scenario,policy,origin_week,hub,category,ending_inventory
base,last_week,2018-07-09,SC,computers_accessories,0.0
base,last_week,2018-07-09,SC,furniture_decor,0.0
base,last_week,2018-07-09,SC,garden_tools,5.0
base,last_week,2018-07-09,SC,health_beauty,0.0
base,last_week,2018-07-09,SC,housewares,0.0
base,last_week,2018-07-09,SC,sports_leisure,9.0
base,last_week,2018-07-09,SC,telephony,0.0
base,last_week,2018-07-09,SC,watches_gifts,0.0
base,last_week,2018-07-09,RS,auto,0.0
base,last_week,2018-07-09,RS,bed_bath_table,0.0
base,last_week,2018-07-09,RS,computers_accessories,17.0
base,last_week,2018-07-09,RS,furniture_decor,2.0
base,last_week,2018-07-09,RS,garden_tools,1.0
base,last_week,2018-07-09,RS,health_beauty,0.0
base,last_week,2018-07-09,RS,housewares,7.0
base,last_week,2018-07-09,RS,sports_leisure,0.0
base,last_week,2018-07-09,RS,telephony,0.0
base,last_week,2018-07-09,RS,watches_gifts,3.0
base,last_week,2018-07-16,SP,auto,3.0
base,last_week,2018-07-16,SP,bed_bath_table,48.0
base,last_week,2018-07-16,SP,computers_accessories,42.0
base,last_week,2018-07-16,SP,furniture_decor,49.0
base,last_week,2018-07-16,SP,garden_tools,40.0
base,last_week,2018-07-16,SP,health_beauty,33.0
base,last_week,2018-07-16,SP,housewares,77.0
base,last_week,2018-07-16,SP,sports_leisure,81.0
base,last_week,2018-07-16,SP,telephony,0.0
base,last_week,2018-07-16,SP,watches_gifts,0.0
base,last_week,2018-07-16,PR,auto,0.0
base,last_week,2018-07-16,PR,bed_bath_table,0.0
base,last_week,2018-07-16,PR,computers_accessories,0.0
base,last_week,2018-07-16,PR,furniture_decor,18.0
base,last_week,2018-07-16,PR,garden_tools,0.0
base,last_week,2018-07-16,PR,health_beauty,7.0
base,last_week,2018-07-16,PR,housewares,0.0
base,last_week,2018-07-16,PR,sports_leisure,8.0
base,last_week,2018-07-16,PR,telephony,0.0
base,last_week,2018-07-16,PR,watches_gifts,0.0
base,last_week,2018-07-16,MG,auto,0.0
base,last_week,2018-07-16,MG,bed_bath_table,0.0
base,last_week,2018-07-16,MG,computers_accessories,5.0
base,last_week,2018-07-16,MG,furniture_decor,9.0
base,last_week,2018-07-16,MG,garden_tools,0.0
base,last_week,2018-07-16,MG,health_beauty,0.0
base,last_week,2018-07-16,MG,housewares,0.0
base,last_week,2018-07-16,MG,sports_leisure,0.0
base,last_week,2018-07-16,MG,telephony,0.0
base,last_week,2018-07-16,MG,watches_gifts,0.0
base,last_week,2018-07-16,RJ,auto,0.0
base,last_week,2018-07-16,RJ,bed_bath_table,0.0
base,last_week,2018-07-16,RJ,computers_accessories,0.0
base,last_week,2018-07-16,RJ,furniture_decor,0.0
base,last_week,2018-07-16,RJ,garden_tools,0.0
base,last_week,2018-07-16,RJ,health_beauty,44.0
base,last_week,2018-07-16,RJ,housewares,0.0
base,last_week,2018-07-16,RJ,sports_leisure,10.0
base,last_week,2018-07-16,RJ,telephony,6.0
base,last_week,2018-07-16,RJ,watches_gifts,0.0
base,last_week,2018-07-16,SC,auto,0.0
base,last_week,2018-07-16,SC,bed_bath_table,17.0
base,last_week,2018-07-16,SC,computers_accessories,0.0
base,last_week,2018-07-16,SC,furniture_decor,0.0
base,last_week,2018-07-16,SC,garden_tools,7.0
base,last_week,2018-07-16,SC,health_beauty,0.0
base,last_week,2018-07-16,SC,housewares,0.0
base,last_week,2018-07-16,SC,sports_leisure,11.0
base,last_week,2018-07-16,SC,telephony,0.0
base,last_week,2018-07-16,SC,watches_gifts,0.0
base,last_week,2018-07-16,RS,auto,0.0
